id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0370,한밭대학교 그린에너지관,한밭대학교 그린에너지관,한밭대학교 그린에너지관,36.354511,127.302616,덕명동 16-1,0
ST0371,한밭대학교 학생생활관 목련화동,한밭대학교 학생생활관 목련화동,한밭대학교 학생생활관 목련화동,36.345701,127.304726,덕명동 16-1,0
ST0372,한밭대학교 건설공학관 입구,한밭대학교 건설공학관 입구,한밭대학교 건설공학관 입구,36.348598,127.301244,덕명동 16-1,0
ST0374,카이스트 다솜관(106),카이스트 다솜관(106),카이스트 다솜관(106),36.367903,127.356948,구성동 23,2
ST0375,카이스트 창의학습관(22),카이스트 창의학습관(22),카이스트 창의학습관(22),36.370226,127.362150,구성동 23,7
ST0376,카이스트 세종관(107),카이스트 세종관(107),카이스트 세종관(107),36.370768,127.366645,구성동 23,9
ST0377,카이스트 정문(23),카이스트 정문(23),카이스트 정문(23),36.366170,127.363896,구성동 23,20
ST0378,열매마을 4단지 입구,열매마을 4단지 입구,열매마을 4단지 입구,36.378368,127.316853,지족동 858,0
ST0379,캐피탈 타워,캐피탈 타워,캐피탈 타워,36.357870,127.387888,둔산동 922,0
ST0380,둔산동 사학연금회관,둔산동 사학연금회관,둔산동 사학연금회관,36.357874,127.389259,둔산동 929,0
ST0381,둥지아파트 정류장(110동),둥지아파트 정류장(110동),둥지아파트 정류장(110동),36.357854,127.391305,둔산동 912,1
ST0382,가람아파트(3동)(36),가람아파트(3동)(36),가람아파트(3동)(36),36.357489,127.396172,둔산동 1805,0
ST0383,수정타운아파트(13동)(37),수정타운아파트(13동)(37),수정타운아파트(13동)(37),36.357848,127.397684,둔산동 909,1
ST0384,대전시청(북문),대전시청(북문),대전시청(북문),36.351112,127.384806,둔산동 1420,0
ST0385,현대아이텔(시청역 6번출구)(19),현대아이텔(시청역 6번출구)(19),현대아이텔(시청역 6번출구)(19),36.351418,127.388051,둔산동 1455,2
ST0386,오페라웨딩홀 건너편(47),오페라웨딩홀 건너편(47),오페라웨딩홀 건너편(47),36.348453,127.382779,둔산동 1255,1
