곡일련번호,앨범명,곡명,가수명,커버이미지_주소,순위,좋아요수
8037843,Nine Track Mind (Deluxe Edition),Dangerously,Charlie Puth,https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg/melon/resize/120/quality/80/optimize,52,186052
36110996,부석순 1st Single Album 'SECOND WIND',파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,53,166782
36546900,ISTJ - The 3rd Album,파랑 (Blue Wave),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,54,33157
33666269,Butter / Permission to Dance,Permission to Dance,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/106/48/182/10648182_20210709104950_500.jpg/melon/resize/120/quality/80/optimize,55,227009
36180700,심(心),심(心),DK(디셈버),https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/120/quality/80/optimize,56,56923
36546908,ISTJ - The 3rd Album,Like We Just Met,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,57,34690
36105548,Teddy Bear,Teddy Bear,STAYC(스테이씨),https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,58,99061
36404853,물론,물론,허각,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize,59,35579
36601157,YOUTH IN THE SHADE,In Bloom,ZEROBASEONE (제로베이스원),https://cdnimg.melon.co.kr/cm2/album/images/112/81/739/11281739_20230707121615_500.jpg/melon/resize/120/quality/80/optimize,60,46306
36441862,The Planet,The Planet,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/112/42/802/11242802_20230512092757_500.jpg/melon/resize/120/quality/80/optimize,61,42103
36334401,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,임한별,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg/melon/resize/120/quality/80/optimize,62,33120
36546897,ISTJ - The 3rd Album,Yogurt Shake,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,63,31726
35729104,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM (르세라핌),https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize,64,166319
36430774,I feel,Allergy,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/112/40/232/11240232_20230509151820_500.jpg/melon/resize/120/quality/80/optimize,65,59232
34657844,사랑인가 봐 (사내맞선 OST 스페셜 트랙),사랑인가 봐,멜로망스,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,66,190730
36001290,H1-KEY 1st Mini Album [Rose Blossom],건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize,67,83639
36604256,EXIST - The 7th Album,Cream Soda,EXO,https://cdnimg.melon.co.kr/cm2/album/images/112/62/317/11262317_20230710172603_500.jpg/melon/resize/120/quality/80/optimize,68,54944
36241824,on the street (with J. Cole),on the street (with J. Cole),j-hope,https://cdnimg.melon.co.kr/cm2/album/images/111/94/815/11194815_20230303100153_500.jpg/melon/resize/120/quality/80/optimize,69,55714
36546902,ISTJ - The 3rd Album,Poison (모래성),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,70,29544
4446485,별에서 온 그대 OST Part.7,너의 모든 순간,성시경,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,71,269995
36546899,ISTJ - The 3rd Album,Skateboard,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,72,27929
36440243,사랑..그게 뭔데,사랑..그게 뭔데,지아,https://cdnimg.melon.co.kr/cm2/album/images/112/42/411/11242411_20230511140611_500.jpg/melon/resize/120/quality/80/optimize,73,22594
36546903,ISTJ - The 3rd Album,SOS,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,74,27954
36635523,NewJeans 2nd EP 'Get Up',Get Up,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,75,17134
36518341,나에게 그대만이,나에게 그대만이,탑현,https://cdnimg.melon.co.kr/cm2/album/images/112/62/009/11262009_20230609150557_500.jpg/melon/resize/120/quality/80/optimize,76,25431
36546905,ISTJ - The 3rd Album,Pretzel (♡),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,77,27224
36546906,ISTJ - The 3rd Album,제자리 걸음 (Starry Night),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,78,27085
36428682,잠깐 시간 될까,잠깐 시간 될까,이무진,https://cdnimg.melon.co.kr/cm2/album/images/112/39/639/11239639_20230508155854_500.jpg/melon/resize/120/quality/80/optimize,79,47608
35667692,삼남매가 용감하게 OST Part.1,그중에 그대를 만나,김호중,https://cdnimg.melon.co.kr/cm2/album/images/110/62/828/11062828_20220923105240_500.jpg/melon/resize/120/quality/80/optimize,80,21238
36637828,Golden Hourglass,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),https://cdnimg.melon.co.kr/cm2/album/images/112/90/943/11290943_20230721164527_500.jpg/melon/resize/120/quality/80/optimize,81,9357
35299693,Summer,Summer (Feat. BE’O (비오)),Paul Blanco,https://cdnimg.melon.co.kr/cm2/album/images/109/84/354/10984354_20220615140704_500.jpg/melon/resize/120/quality/80/optimize,82,85314
36394038,시작은 첫키스 OST Part.1,Heaven(2023),임재현,https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg/melon/resize/120/quality/80/optimize,83,31584
33658563,Stay,STAY,The Kid LAROI,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg/melon/resize/120/quality/80/optimize,84,267685
34431086,취중고백,취중고백,김민석 (멜로망스),https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/120/quality/80/optimize,85,170344
36365073,빛이 나는 너에게,빛이 나는 너에게,던 (DAWN),https://cdnimg.melon.co.kr/cm2/album/images/112/22/887/11222887_20230412154617_500.jpg/melon/resize/120/quality/80/optimize,86,68924
36500102,사실말야내가말야그게그러니까말이야,사실말야내가말야그게그러니까말이야,케이시 (Kassy),https://cdnimg.melon.co.kr/cm2/album/images/112/57/305/11257305_20230602135246_500.jpg/melon/resize/120/quality/80/optimize,87,22032
36616378,사막에서 꽃을 피우듯,사막에서 꽃을 피우듯,우디 (Woody),https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg/melon/resize/120/quality/80/optimize,88,10424
36480197,ONGOING,첫 키스에 내 심장은 120BPM,경서,https://cdnimg.melon.co.kr/cm2/album/images/112/52/233/11252233_20230526104956_500.jpg/melon/resize/120/quality/80/optimize,89,23790
35535827,NIGHT DANCER,NIGHT DANCER,imase,https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg/melon/resize/120/quality/80/optimize,90,111795
34754292,I NEVER DIE,TOMBOY,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg/melon/resize/120/quality/80/optimize,91,240298
34864406,CHARLIE,That's Hilarious,Charlie Puth,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,92,170088
35252996,해요 (2022),해요 (2022),#안녕,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/120/quality/80/optimize,93,84640
36322781,That’s Not How This Works (feat. Dan + Shay),That’s Not How This Works (feat. Dan + Shay),Charlie Puth,https://cdnimg.melon.co.kr/cm2/album/images/112/12/508/11212508_20230329095440_500.jpg/melon/resize/120/quality/80/optimize,94,63785
35730562,I love,Nxde,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg/melon/resize/120/quality/80/optimize,95,161987
33496587,다정히 내 이름을 부르면 (경서예지 x 전건호),다정히 내 이름을 부르면,경서예지,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/120/quality/80/optimize,96,174379
36517231,사랑의 바보,사랑의 바보,제이세라,https://cdnimg.melon.co.kr/cm2/album/images/112/61/705/11261705_20230609111742_500.jpg/melon/resize/120/quality/80/optimize,97,11980
35643794,Monologue,Monologue,테이,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg/melon/resize/120/quality/80/optimize,98,88169
36359275,Over The Moon,KNOCK,이채연,https://cdnimg.melon.co.kr/cm2/album/images/112/21/404/11221404_20230411101938_500.jpg/melon/resize/120/quality/80/optimize,99,38749
36595401,"잘 지내자, 우리 (여름날 우리 X 로이킴)","잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,https://cdnimg.melon.co.kr/cm2/album/images/112/80/645/11280645_20230705152407_500.jpg/melon/resize/120/quality/80/optimize,100,19480
